,userId,movieId,rating
0,1,1,4.0
1,1,2139,5.0
2,1,2137,5.0
3,1,2116,5.0
4,1,661,5.0
5,1,673,3.0
6,1,2115,5.0
7,1,733,4.0
8,1,2105,4.0
9,1,2094,5.0
10,1,2093,3.0
11,1,3809,4.0
12,1,2090,5.0
13,1,2058,5.0
14,1,736,3.0
15,1,2054,4.0
16,1,2048,5.0
17,1,2046,4.0
18,1,2141,5.0
19,1,2143,4.0
20,1,2161,5.0
21,1,2174,4.0
22,1,2395,5.0
23,1,2389,2.0
24,1,2387,5.0
25,1,593,4.0
26,1,3729,5.0
27,1,2353,5.0
28,1,3740,4.0
29,1,2338,2.0
30,1,2033,5.0
31,1,3744,4.0
32,1,608,5.0
33,1,2291,5.0
34,1,2273,4.0
35,1,3793,5.0
36,1,2268,4.0
37,1,2253,2.0
38,1,2193,4.0
39,1,648,3.0
40,1,2329,5.0
41,1,2406,4.0
42,1,780,3.0
43,1,4006,4.0
44,1,6,4.0
45,1,1090,4.0
46,1,1732,5.0
47,1,1092,5.0
48,1,1676,3.0
49,1,1644,3.0
50,1,1097,5.0
51,1,1625,5.0
52,1,1620,4.0
53,1,1127,4.0
54,1,1136,5.0
55,1,1617,5.0
56,1,1587,5.0
57,1,3,4.0
58,1,1196,5.0
59,1,1580,3.0
60,1,1573,5.0
61,1,1777,4.0
62,1,1089,5.0
63,1,1793,4.0
64,1,1804,5.0
65,1,5060,5.0
66,1,2028,4.0
67,1,804,4.0
68,1,1009,3.0
69,1,1030,3.0
70,1,1031,5.0
71,1,1042,4.0
72,1,2012,4.0
73,1,47,5.0
74,1,1049,5.0
75,1,2005,5.0
76,1,1073,5.0
77,1,2000,4.0
78,1,1967,4.0
79,1,1080,5.0
80,1,1954,5.0
81,1,1920,4.0
82,1,1805,4.0
83,1,1060,4.0
84,1,2414,3.0
85,1,2427,5.0
86,1,3703,5.0
87,1,3052,5.0
88,1,3034,5.0
89,1,3033,5.0
90,1,296,3.0
91,1,3527,4.0
